,samples,numpy_pam,numpy_fastpam1,numpy_fasterpam
0,50,1.3338782080099918,1.3002488750207704,1.302440208994085
1,50,1.3053307920054067,1.3156918330059852,1.3109637089946773
2,50,1.3179290419793688,1.3054263749800157,1.2995233750261832
3,50,1.2999138339946512,1.2998808329866733,1.3168815839744639
4,50,1.2989522910211235,1.305497249995824,1.310553625022294
5,50,1.2997334169922397,1.3017214160063304,1.3211040829773992
6,50,1.303301999985706,1.302992583019659,1.3134693339816295
7,50,1.3048364169953857,1.3053965829894878,1.3075892500055488
8,50,1.3075859160162508,1.30615512499935,1.3297359159914777
9,50,1.3080063340021297,1.3040732920053415,1.306949791003717
10,100,1.3115811659954488,1.3263211250014137,1.3663944580184761
11,100,1.3094283750106115,1.316519458021503,1.327667667006608
12,100,1.309305292001227,1.313846042001387,1.3154291250102688
13,100,1.321475124976132,1.311315624974668,1.3118269999977201
14,100,1.326722666999558,1.312586541986093,1.318599666992668
15,100,1.3173227500228677,1.3150455419963691,1.314345291000791
16,100,1.316223292000359,1.3188769579865038,1.332511374988826
17,100,1.3349988329864573,1.3155093749810476,1.333065249986248
18,100,1.3231217920256313,1.3237689999805298,1.3157839159830473
19,100,1.3246154579974245,1.3340546249819454,1.3226038750144653
20,200,1.326237500004936,1.346122707996983,1.3355207910062745
21,200,1.3328453750000335,1.3360778749920428,1.3359191670024302
22,200,1.3353617079847027,1.3353938339860179,1.3391931250225753
23,200,1.344644833006896,1.3456800419953652,1.334031500009587
24,200,1.3206241250154562,1.3264541249955073,1.3466947080160026
25,200,1.340629665995948,1.3371452089922968,1.3416929579980206
26,200,1.3494936249917373,1.3427512499911245,1.3437657499744091
27,200,1.3234956249943934,1.322668708016863,1.3218088329886086
28,200,1.380747583025368,1.3912639170011971,1.3659143749973737
29,200,1.3038977090036497,1.316943458019523,1.3107877080037724
30,300,1.3008867079915944,1.2990084170014597,1.3054528750071768
31,300,1.2911956250027288,1.2932700419914909,1.3398639999795705
32,300,1.2978081670007668,1.3042078750149813,1.305033916985849
33,300,1.3070865840127226,1.316609375004191,1.3271592920063995
34,300,1.3043841659964528,1.30570145798265,1.3015985829988495
35,300,1.2843875419930555,1.2763956249982584,1.2782445419870783
36,300,1.2827700000198092,1.2779048749944195,1.2771690000081435
37,300,1.2814089999883436,1.3374241660058033,1.2901695410255343
38,300,1.2959594170097262,1.2832524169934914,1.2783137499936856
39,300,1.2833697500173002,1.278489125019405,1.30078033299651
40,500,1.2980288329999894,1.2876646249787882,1.2969458749867044
41,500,1.3047975840163417,1.3125217089836951,1.3052769159839954
42,500,1.3059452500019688,1.2996304589905776,1.308352374995593
43,500,1.3094468750059605,1.309708959015552,1.3043097499758005
44,500,1.3214253750047646,1.3081896670046262,1.3106010829797015
45,500,1.3116456669813488,1.3158641660120338,1.3024934169952758
46,500,1.3254070419934578,1.31488662501215,1.3020977920095902
47,500,1.3131571669946425,1.309057667007437,1.3106229589902796
48,500,1.3076285000133794,1.2808597920229658,1.277863041992532
49,500,1.3087338749901392,1.2823654590174556,1.29527554102242
50,700,1.3106554999831133,1.2855375830258708,1.306124832975911
51,700,1.296551792009268,1.2843745420104824,1.291705916984938
52,700,1.3157252090168186,1.4178863340057433,1.3298674580000807
53,700,1.3004869589931332,1.2840776670200285,1.2871234170161188
54,700,1.3013747080112807,1.29139529101667,1.2831806670001242
55,700,1.3454959169903304,1.2869632079964504,1.2968281659996137
56,700,1.300015208980767,1.2971444590075407,1.2930858749896288
57,700,1.3083929999847896,1.3081457079970278,1.290603875007946
58,700,1.3118213340057991,1.2900605839968193,1.2873173339758068
59,700,1.3050037499924656,1.2939467079995666,1.2888896249933168
60,1000,1.327066416008165,1.3015383330057375,1.3124499160039704
61,1000,1.3476734999858309,1.3034714169916697,1.3275054589903448
62,1000,1.3342245829990134,1.3047374589950778,1.3165085419896059
63,1000,1.3489604589994997,1.3057793339830823,1.3207955840043724
64,1000,1.3512382910121232,1.3286316670128144,1.3277517079841346
65,1000,1.333687333011767,1.3115173339901958,1.3239762080193032
66,1000,1.3407115830050316,1.3159136250033043,1.3482259169977624
67,1000,1.3397240840131417,1.318696624977747,1.3337404170015361
68,1000,1.3563999589823652,1.3354432079941034,1.3208402089949232
69,1000,1.365792374999728,1.314481125009479,1.3270104169787373
70,2000,1.4933152919984423,1.3801509579934645,1.3643592080043163
71,2000,1.498033999989275,1.3816237499995623,1.362010792014189
72,2000,1.498068416985916,1.3737014590005856,1.3696304589975625
73,2000,1.5021878749830648,1.3760117089841515,1.3755791249859612
74,2000,1.5015925829939079,1.3792029999895021,1.37377862498397
75,2000,1.5005810419970658,1.3768015419773292,1.3638545830035582
76,2000,1.4990718750050291,1.3786679999902844,1.3637975839956198
77,2000,1.5081853329902515,1.3857211249996908,1.3908567909966223
78,2000,1.5131459170079324,1.393954166007461,1.368247042002622
79,2000,1.5038987080042716,1.3860297079954762,1.3799932090041693
80,3000,1.9862695829942822,1.5574495829932857,1.4471464160014875
81,3000,1.946783166989917,1.5422892500064336,1.4525402079743799
82,3000,1.9879342500062194,1.563307625008747,1.4526080419891514
83,3000,1.9669961250037886,1.5535097910033073,1.4535654159844853
84,3000,1.9556147909897845,1.5514313339954242,1.4550129170238506
85,3000,1.960243207984604,1.5677996249869466,1.4585411670268513
86,3000,1.979491624981165,1.5553058329969645,1.4673926249961369
87,3000,1.957280583010288,1.5618374579935335,1.458591582981171
88,3000,1.9838453329866752,1.569099958986044,1.4664032089931425
89,3000,1.9587458749883808,1.5509789169882424,1.4558117089909501
90,5000,3.556749540992314,2.0778765419963747,1.6457567079924047
91,5000,3.579342832992552,2.131945333996555,1.652112332987599
92,5000,3.7712907920067664,2.085317082994152,1.6638896250224207
93,5000,3.79190166699118,2.0798717080033384,1.656125334004173
94,5000,3.8235674999887124,2.0774919999821577,1.650313875026768
95,5000,3.5994750420213677,2.0816533749748487,1.656229957996402
96,5000,3.5958305829844903,2.1399150830111466,1.6427202500053681
97,5000,3.8043456669838633,2.1331608749751467,1.657931624999037
98,5000,3.5946123329922557,2.1392154170025606,1.651010291010607
99,5000,3.611847457999829,2.1447237079846673,1.669210457999725
100,7000,5.834859499998856,2.719245749991387,1.936463541991543
101,7000,5.850540000014007,2.724348583986284,1.9555124590115156
102,7000,5.8508488750085235,2.828117375000147,1.911990333988797
103,7000,5.552063124981942,2.7171206249913666,1.927776708995225
104,7000,5.548279499984346,2.730498165998142,1.9182225420081522
105,7000,5.5393404999922495,2.728571624989854,1.9451134170230944
106,7000,5.851973499986343,2.74760983401211,1.9092761659994721
107,7000,5.851214958005585,2.725390707986662,1.9337850000010803
108,7000,5.868268833000911,2.8143195410084445,1.9253721669956576
109,7000,5.8607908750127535,2.8200685000047088,1.9271454580011778
110,10000,10.707093082979554,4.344175875012297,2.663613541983068
111,10000,11.30917533300817,4.490937667025719,2.658116374979727
112,10000,10.71864445801475,4.340813499991782,2.654049083008431
113,10000,11.329473790974589,4.491172707988881,2.6699011250166222
114,10000,11.319103999994695,4.333684000011999,2.644133124995278
115,10000,11.311822415998904,4.357839749980485,2.667702459002612
116,10000,10.716383042017696,4.492178249987774,2.660281042015413
117,10000,11.312835165997967,4.489470666012494,2.656402207998326
118,10000,10.719806958019035,4.362476374983089,3.2327127089956775
119,10000,10.714326083980268,4.350727959012147,2.6689930420252495
120,20000,34.944662124995375,11.73507291599526,9.268212208000477
121,20000,34.184655041986844,12.203351333999308,9.347480999975232
122,20000,32.421731500013266,11.845888417010428,9.371593415999087
123,20000,34.2910151250253,12.231874749995768,9.53104070900008
124,20000,32.81916587497108,12.251763541979017,9.520293791021686
125,20000,34.02670958300587,12.326671292015817,9.570371125009842
126,20000,32.93887287500547,12.391121083986945,9.56811383398599
127,20000,35.029769332992146,12.303400332981255,9.463212375005241
128,20000,35.35265141699347,12.185399459005566,9.359376250009518
129,20000,33.85271916599595,12.429464582994115,9.536535334016662
130,30000,80.56360749999294,27.36983783400501,16.91825037499075
131,30000,68.80808358400827,22.58396229200298,13.068492791004246
132,30000,78.01805662500556,25.408330250007566,16.262816084024962
133,30000,80.01000883299275,27.04165600001579,16.362157124996884
134,30000,75.97933291600202,27.008624500012957,16.552593166998122
135,30000,83.23789920797572,27.549165667005582,16.90565874997992
136,30000,78.48324550001416,27.93255908298306,16.784888124995632
137,30000,84.04503283297527,26.797918374999426,17.10107970799436
138,30000,79.51007220899919,27.681276292016264,16.921298290981213
139,30000,80.62310258299112,28.702986416989006,16.826002624991816
140,40000,157.67903250001837,62.31271516700508,37.025655582983745
141,40000,162.33308283402584,61.698712415993214,29.37667616599356
142,40000,154.94396891602082,58.543438541993964,35.27640062500723
143,40000,160.03943537501618,61.0911393330025,36.541564915998606
144,40000,159.8840391249978,62.97632479202002,37.026039165997645
145,40000,164.91364729200723,63.87747524998849,37.285328625002876
146,40000,165.54546908300836,64.3891940000176,37.19946320800227
147,40000,161.40260112498072,57.66858262498863,29.51759333300288
148,40000,155.73400254099397,59.22620379200089,35.691036458010785
149,40000,163.35940066698822,61.00058875000104,36.64968291600235
