samples,numpy_dist_mat,memmap_dist_mat
50,1.6696534579969011,1.5224359579733573
50,1.3113646249985322,1.3342770409944933
50,1.2804781250015367,1.3296842080017086
50,1.282511124998564,1.3232152500131633
50,1.2805868329887744,1.3212897909979802
50,1.288518874993315,1.3215931669983547
50,1.2768910420127213,1.3414388329838403
50,1.294573582999874,1.3275471660017502
50,1.2824405420105904,1.318996165995486
50,1.2880874589900486,1.3249779999896418
100,1.2761151670129038,1.3218112499744166
100,1.2789185830042697,1.3173052920028567
100,1.2993966249923687,1.3219824169937056
100,1.2864159579912666,1.3359110840247013
100,1.2785996670136228,1.3373527499788906
100,1.2859309170162305,1.3464551659999415
100,1.2789142080000602,1.3317389999865554
100,1.2793190839875024,1.3179277500021271
100,1.2783623340073973,1.3396270829834975
100,1.2786961249948945,1.3289213340030983
200,1.2867017920070793,1.3292312500125263
200,1.279014791973168,1.3284407500177622
200,1.3118904999864753,1.3610717919946183
200,1.3057725420221686,1.331070499989437
200,1.2788297910010442,1.3261633329966571
200,1.2911874580022413,1.36966370898881
200,1.3105350000259932,1.347470291017089
200,1.3142108749889303,1.3652891250094399
200,1.3112267919932492,1.3385675419995096
200,1.3090874160116073,1.3340150830044877
300,1.290556166000897,1.3308437910163775
300,1.2858248339907732,1.3270716250117403
300,1.2981922919861972,1.3780294159951154
300,1.304532542009838,1.3264905420073774
300,1.287263875012286,1.3417522919771727
300,1.334260958014056,1.382365249999566
300,1.318283333996078,1.369410416984465
300,1.3068492079910357,1.3701682499959134
300,1.2862883330089971,1.350890250003431
300,1.2995689159724861,1.3281722920073662
500,1.293506374990102,1.3412473750067875
500,1.2871637089992873,1.3806435839796904
500,1.2931791250011884,1.3483777090150397
500,1.2966325829911511,1.3417765830236021
500,1.299070125009166,1.3527018329768907
500,1.288312999997288,1.3320078749966342
500,1.3013859589991625,1.3289287079824135
500,1.2885671659896616,1.3447153749875724
500,1.289831417001551,1.3299235829908866
500,1.3114011670113541,1.346695666987216
700,1.3014032079954632,1.3459462079918012
700,1.3082139999896754,1.3547904170118272
700,1.2927156669902615,1.33886345801875
700,1.2952852910093497,1.3494436670152936
700,1.309445292019518,1.336596290988382
700,1.2980551669897977,1.3666629579965957
700,1.2991711670183577,1.3401070830004755
