samples,numpy_fasterpam,memmap_fasterpam,memmap_fasterpam_clara
50,0.3470106858473558,0.3578331988790761,0.3649122948740043
50,0.3707275390625,0.3707362583705357,0.3707405090332031
50,0.3708038330078125,0.3708278111049107,0.3708320617675781
50,0.370819091796875,0.3708278111049107,0.37083217075892855
50,0.370819091796875,0.3708278111049107,0.3708320617675781
50,0.370819091796875,0.3708278111049107,0.3708320617675781
50,0.370819091796875,0.37089320591517855,0.37090846470424105
50,0.3708953857421875,0.3709041050502232,0.37090846470424105
50,0.3708953857421875,0.3709041050502232,0.37090846470424105
50,0.3708953857421875,0.3709041050502232,0.37090846470424105
100,0.3708953857421875,0.37092154366629465,0.3709083557128906
100,0.3708953857421875,0.37092154366629465,0.3709083557128906
100,0.3708953857421875,0.37092154366629465,0.3709083557128906
100,0.3708953857421875,0.37092154366629465,0.3709083557128906
100,0.3708953857421875,0.37092154366629465,0.37090846470424105
100,0.3708953857421875,0.37092154366629465,0.37090919131324407
100,0.3708953857421875,0.37092154366629465,0.37090846470424105
100,0.3708953857421875,0.37092154366629465,0.37090846470424105
100,0.3708953857421875,0.37092154366629465,0.37090846470424105
100,0.3708953857421875,0.37092154366629465,0.37090846470424105
200,0.3708953857421875,0.37098257882254465,0.3709346226283482
200,0.3708953857421875,0.37098257882254465,0.3709346226283482
200,0.3708953857421875,0.37098257882254465,0.3709346226283482
200,0.3708953857421875,0.37098257882254465,0.3709346226283482
200,0.3708953857421875,0.37098257882254465,0.3709346226283482
200,0.37090846470424105,0.37099783761160715,0.3709498814174107
200,0.37091064453125,0.37099783761160715,0.3709513346354167
200,0.37091064453125,0.37099783761160715,0.3709498814174107
200,0.37091064453125,0.37099783761160715,0.3709498814174107
200,0.37091064453125,0.37099783761160715,0.3709498814174107
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
300,0.37091064453125,0.3711024693080357,0.37098911830357145
500,0.37091064453125,0.3714512416294643,0.37113153366815477
500,0.37091064453125,0.37144906180245535,0.37113153366815477
500,0.37091064453125,0.3714512416294643,0.37111990792410715
500,0.37091064453125,0.3714512416294643,0.37111990792410715
500,0.37091064453125,0.3714512416294643,0.37111990792410715
500,0.37091064453125,0.3715019226074219,0.37112842906605115
500,0.37091064453125,0.37144906180245535,0.3711214932528409
500,0.37091064453125,0.3714885711669922,0.37111990792410715
500,0.37091064453125,0.37144906180245535,0.3711308070591518
500,0.37091064453125,0.3714512416294643,0.37111990792410715
700,0.37091064453125,0.371826171875,0.3712955821644176
700,0.37091064453125,0.37185096740722656,0.37132679332386365
700,0.37091064453125,0.3718452453613281,0.3713136152787642
700,0.37091064453125,0.37197303771972656,0.37130598588423297
700,0.37091064453125,0.3718605041503906,0.37129792712983634
700,0.3735264369419643,0.37563514709472656,0.3749715631658381
700,0.37457275390625,0.37548828125,0.37495223335597827
700,0.37457275390625,0.37552452087402344,0.3749486749822443
700,0.37457275390625,0.3755054473876953,0.37494936856356537
700,0.37457275390625,0.37552452087402344,0.3749507557262074
1000,0.3802490234375,0.38446502685546874,0.38300887398097827
1000,0.3822072347005208,0.3844696044921875,0.38296840501868207
1000,0.3876970079210069,0.391937255859375,0.39044521165930707
1000,0.3896891276041667,0.39196014404296875,0.3904883343240489
1000,0.3896993001302083,0.3919677734375,0.39046047044836957
1000,0.3897060818142361,0.3919708251953125,0.39046047044836957
1000,0.3897009955512153,0.3919677734375,0.3904777195142663
1000,0.3897111680772569,0.3919708251953125,0.3905029296875
1000,0.3897332085503472,0.39198455810546873,0.3905307935631793
1000,0.3897332085503472,0.39199676513671877,0.39049098802649457
2000,0.43283335367838544,0.46786390032087055,0.46840936997357535
2000,0.46489656888521635,0.4740175519670759,0.46833200165719696
2000,0.4649540827824519,0.4738409859793527,0.468442580279182
2000,0.46497521033653844,0.47407967703683035,0.4682011323816636
2000,0.4649611253004808,0.4739772251674107,0.4681979908662684
2000,0.4649823506673177,0.47406005859375,0.4682159423828125
2000,0.4649693415715144,0.4741243634905134,0.4682187167080966
2000,0.46495760404146635,0.4739739554268973,0.4681683164654356
2000,0.46497521033653844,0.47407313755580355,0.4681979908662684
2000,0.4649622990534856,0.4741003853934152,0.46825570771188446
3000,0.5649181165193257,0.6261262439546131,0.6086092862215909
3000,0.6008244564658717,0.6254457172594572,0.6088590400163517
3000,0.6014829936780428,0.6261010420949835,0.6095327897505327
3000,0.6015869140625,0.6262303402549342,0.6095705899325284
3000,0.6015869140625,0.6263411672491777,0.6094310671784157
3000,0.6015869140625,0.6261717143811678,0.6092156698537428
3000,0.6015853881835938,0.6262969970703125,0.6096546261809593
3000,0.6015962299547697,0.6265483655427632,0.6095577506131904
3000,0.6015815734863281,0.6263500012849507,0.6095165873682776
3000,0.6015846252441406,0.626064099763569,0.6093673706054688
5000,0.7664930555555556,0.7430790492466518,0.7183731321304564
5000,0.8595855712890625,0.7699555187690549,0.7184114002046131
5000,0.8629690987723214,0.7698137236804496,0.7183338952442956
5000,0.8582390679253472,0.7709686279296875,0.7185868294008316
5000,0.8603134155273438,0.7713527679443359,0.7185075547960069
5000,0.8591164253853463,0.7714035034179687,0.7188437325613839
5000,0.864386240641276,0.7712554931640625,0.7184295654296875
5000,0.8596950107150607,0.7717989966982887,0.718566652328249
5000,0.860664791531033,0.772311699099657,0.7188548738994296
5000,0.860953860812717,0.7717310587565104,0.7183914184570312
7000,1.0236721351498463,0.8680515012879303,0.7430676752978033
7000,1.0360265096028647,0.8663430285097947,0.7434585118057704
7000,1.0171379477290783,0.8645687681255918,0.7429996565276501
7000,1.0287185927568856,0.8665699678308824,0.7438673400878906
7000,1.0251477997878502,0.8648561917818509,0.743282658038753
7000,1.0299878438313803,0.8632655288233901,0.7434617614746094
7000,1.0327039815611758,0.8618186836812034,0.7440040512840347
7000,1.0274091817564883,0.8672527986414292,0.7431553649902344
7000,1.0249450166346663,0.8684883117675781,0.7441230773925781
7000,1.0304521463685117,0.8631214951023911,0.7440223316154858
10000,1.374511472640499,1.0475243762531112,0.810736083984375
10000,1.3912791748046875,1.0449375739464393,0.8148257270533377
10000,1.3848938714890253,1.0525375067018996,0.8237764810778431
10000,1.3885191650390625,1.0509169335458792,0.8231491967645616
10000,1.3940675990788016,1.0552019803029187,0.8237688133753643
10000,1.3963751414465526,1.0549295865572417,0.8233886876872166
