samples,numpy_fasterpam,memmap_fasterpam,memmap_fasterpam_clara
50,1.7010577920009382,1.514677999977721,2.392254750011489
50,1.3331355419941247,1.3245253750064876,1.4843250410049222
50,1.3345174999849405,1.3284947500214912,1.4743656250066124
50,1.3441916250158101,1.3361035410198383,1.4806783329986501
50,1.3283545000012964,1.317430750001222,1.487063999986276
50,1.335507666983176,1.3211061670153867,1.4723265409993473
50,1.3127450839965604,1.3478556250047404,1.4761111660045572
50,1.318682417011587,1.3441415410197806,1.4998124169942457
50,1.3312037920113653,1.33882933401037,1.500989958003629
50,1.3297155000036582,1.3723269579932094,1.4946936670166906
100,1.3430416669871192,1.3573417500010692,1.4939727500022855
100,1.3218023340159561,1.362828665995039,1.4966264579852577
100,1.3359991670004092,1.3395181669911835,1.4746823330060579
100,1.3300817080016714,1.3265290840063244,1.474695042008534
100,1.3161074169911444,1.32620016700821,1.4954160830238834
100,1.3467334170127288,1.3476996660174336,1.514410208008485
100,1.3623918749799486,1.3574796250031795,1.5218964999949094
100,1.3513139159767888,1.3328747079940513,1.5011170000070706
100,1.3460091669985559,1.344948458019644,1.5045442090195138
100,1.341670082998462,1.3509464999951888,1.5010190419852734
200,1.3448853330046404,1.3597013330145273,1.494439833011711
200,1.3445177919929847,1.354564292007126,1.5203577500069514
200,1.342668291006703,1.3771968749933876,1.5217527500062715
200,1.3646898330189288,1.343841624999186,1.5088882500131149
200,1.3549062089878134,1.3734337920031976,1.5058080420130864
200,1.3455913749930914,1.3350941670069005,1.4978687500115484
200,1.3390654170070775,1.3666526250017341,1.5016795829869807
200,1.3414109160075895,1.340778459009016,1.4956562910228968
200,1.3338516249787062,1.3570204169955105,1.5067304999975022
200,1.3424101670098025,1.3593238340108655,1.4934964170097373
300,1.3764868750004098,1.3518768750072923,1.5020345840021037
300,1.3441837080172263,1.36741954201716,1.4903438750188798
300,1.3422926249913871,1.3400469580083154,1.5038659170095343
300,1.3709760830097366,1.3702375420252793,1.5064225420064759
300,1.3331668329774402,1.343776624999009,1.5009652499866206
300,1.3355126660026144,1.364584625000134,1.4923138330050278
300,1.3469435420120135,1.3552612499915995,1.5057657079887576
300,1.3489334170008078,1.3438554169842973,1.5125115000118967
300,1.3440030420024414,1.340659041015897,1.5065074159938376
300,1.3534768329991493,1.3483624170185067,1.5025794999965
500,1.3512921250076033,1.3389831250242423,1.5113680420035962
500,1.3404963749926537,1.3653074169997126,1.5089495830179658
500,1.3482439590152353,1.3608082499995362,1.5088509999914095
500,1.3505496669968124,1.355146624991903,1.4971067500009667
500,1.3457585829892196,1.3591393749811687,1.5060294580180198
500,1.339183125004638,1.3591555000166409,1.506686417007586
500,1.3327332909975667,1.3575170840194914,1.5195670840039384
500,1.3600077919836622,1.3528249579831026,1.513200292014517
500,1.3471563329803757,1.347468583000591,1.529122500010999
500,1.364293374994304,1.3602052919741254,1.510166333988309
700,1.3712424999976065,1.371409749990562,1.5023827499826439
700,1.3748329170048237,1.3592597499955446,1.5373827920120675
700,1.355735207995167,1.364245792006841,1.5205807499878574
700,1.3548434159893077,1.3637655839847866,1.5231237089901697
700,1.3713852500077337,1.3457263330055866,1.528994166990742
700,1.3427312910207547,1.3794470409920905,1.5117331669898704
700,1.4145894590183161,1.3789691659912933,1.528161041002022
700,1.3460673340014182,1.3571727089874912,1.5212487920070998
700,1.3563708330038935,1.3625830830133054,1.5082387500151526
700,1.3472283330047503,1.372410084004514,1.5166490839910693
1000,1.3826319590152707,1.41035187500529,1.5442134579934645
1000,1.3873833749967162,1.4046049170137849,1.5317397089966107
1000,1.3680883750203066,1.3713624999800231,1.5200112920138054
1000,1.3845684580155648,1.3968729999905918,1.5209355000115465
1000,1.3911123750149272,1.3803627910092473,1.5143900830007624
1000,1.3695790830242913,1.4112989579734858,1.5368772090005223
1000,1.4002672499918845,1.388393792003626,1.5376577080169227
1000,1.3680936669989023,1.4088661250134464,1.5306152910052333
1000,1.3724848749989178,1.3700552920054179,1.5270535000017844
1000,1.3642007079906762,1.388268667011289,1.5191015419841278
2000,1.4161417909781449,1.4333616670046467,1.654002583003603
2000,1.4190828340069856,1.4241836669971235,1.650190249987645
2000,1.4314834580000024,1.4445832919736858,1.6363472499942873
2000,1.410304457996972,1.4526131250022445,1.6549444590054918
2000,1.420826457993826,1.430586750007933,1.6493358339939732
2000,1.4234743330162019,1.4256202499964274,1.6480766659951769
2000,1.4157544159970712,1.4457622499903664,1.6306994170008693
2000,1.4383985830063466,1.4388650839973707,1.6191602499748114
2000,1.4183569999877363,1.4379545419942588,1.6502967920096125
2000,1.4220068329887,1.414851749985246,1.6520396249834448
3000,1.5034401250013616,1.5072422079974785,1.7787760840146802
3000,1.489892375015188,1.4872471670096274,1.7541132500045933
3000,1.4927293749933597,1.4976785829931032,1.7721410829981323
3000,1.508505834004609,1.4984045829914976,1.7702505420020316
3000,1.5010180830140598,1.4891364999930374,1.7554614999971818
3000,1.5151060409843922,1.4741878750210162,1.7674468329933006
3000,1.4935232079878915,1.495002958981786,1.7740575420029927
3000,1.4966689170105383,1.5028920840122737,1.7525856249849312
3000,1.4945407090126537,1.5041456250182819,1.749832207977306
3000,1.5019152909808327,1.4988233750045765,1.767556542006787
5000,1.6845374169934075,1.7679614159860648,1.9965821250225417
5000,1.6890068750071805,1.7626528749824502,1.9885744579951279
5000,1.6817744169966318,1.749009457998909,1.9918952089792583
5000,1.6805692920170259,1.746718416980002,1.9751750839932356
5000,1.7040707919804845,1.7429213750001509,1.9779814999783412
5000,1.6896844590082765,1.747573291999288,1.980475916992873
